Ticket,Date,Location,Company Complaining About,Description
# 3804946 - halftime obscenities,2/5/2020 10:37:34 AM,"Croswell, Michigan 48422",,"Really? An R Rated halftime show? I chose to not go see the R rated movie Hustler but did not expect to see so much nastiness on TV. To bend over and show that thin p iece if fabric between her butt cheeks crossed the line. It wasn't a concert, it was a football game being broadcast into my home by a local station by the airwaves be for families to watch together. How rude and obscene. It wasn't the beach or a resort, i t was my living room!"
# 3804961 - Halftime Show,2/5/2020 10:45:47 AM,"Coventry, Rhode Island 02816",,"This was at least PG13. There needed to be parental guidance. Little kids love football, but the display of sex was over the top."
# 3794899 - Bad choice of song by Pitbull / Fox,2/2/2020 5:37:54 PM,"San Francisco, California 94127",,Pitbull was singing a song about female butts. It was too early in the day to sing a song about sex on what should have been family show.
# 3795022 - Inappropriate content during Super Bowl halftime show,2/2/2020 9:22:22 PM,"Washington, District Of Columbia 20016",,I found the halftime show of the Super Bowl to be completely inappropriate. There was far too much sexual innuendo for a program that is watched by families.
# 3795024 - Superbowl Half Time Show,2/2/2020 9:23:58 PM,"Little Rock, Arkansas 72032",,"Why is it okay for these entertainers, J - Lo and Shakira to prance around grabbing their genitals on national television? I don't want my kids imitating that behavior. Do you guys really condone this crap?"
# 3795031 - Halftime Show,2/2/2020 9:28:57 PM,"Phoenix, Arizona 85087",Cox,The Superbowl halftime show was totally inappropriate! Pole dancing and JLo was basically wearing a thong. This went beyond entertainment and had way too many sexual and pornographic dance moves and props. Not family friendly AT ALL!
# 3795033 - Super Bowl 54 half time show,2/2/2020 9:30:06 PM,"Poinciana, Florida 34759",,This years show was extremely provocative in the female body moments and the simulated patting of
# 3795041 - Super Bowl Half Time Show,2/2/2020 9:31:41 PM,"Millstadt, Illinois 62260",,"The 2020 Super Bowl Half Time Show contained indecent, sexual, and risqué content that was unsuitable for all viewers especially young viewers. The performers exposed areas of the lower buttocks, abdomen, and cleavage. This content was clearly obsc ene, and should not have been broadcast. I believe FOX should be subject to regulatory penalties for broadcasting obscene content not suitable for public viewing."
# 37 95043 - Super Bowl Halftime Shiw,2/2/2020 9:32:11 PM,"Harrisburg, Pennsylvania 17109",,"The halftime show was totally inappropriate for the millions of young kids watching a football game. It was disgusting, except to maybe men. Women and children watch football, and this was awful. Get some class."
# 3795048 - Super Bowl half time show 2020,2/2/2020 9:33:20 PM,"Hanover, Pennsylvania 17331",,Jennifer Lopez showing her crotch and rubbing at it suggestively. Shakira showing her crotch. It would be nice if costumes and dance moves were family appropriate during football games.
# 3795052 - Super Bowl halftime,2/2/2020 9:33:50 PM,"Sandy, Utah 84092",,"Wow! I am totally di sturbed with the halftime Show that was allowed to be shown throughout the country! Pole dancing, women wearing nearly nothing, croch shots. Why oh why do we have to sexualize everything. So very disappointed in fox, Pepsi and everyone involved in approvi ng this halftime show. Totally inappropriate for network tv!"
# 3795056 - Superbowl half time show,2/2/2020 9:35:04 PM,"St Helena Island, South Car olina 29920",,The entire program was soft porn. How do these performrrs and the NFL get away showing the content of yhis show
